Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
341-1-13699,Horn Quartet,Kyrie in F,Bach,Dishinger,Medici Music Press,1,
341-1-13700,Horn Quartet,The Four Hornsmen,Bennett,,"Carl Fischer, Inc.",1,
341-1-13701,Horn Quartet,Suite,Bozza,,Alphonse Leduc,1,(play three mvts)
341-1-13702,Horn Quartet,The Earle of Oxford's Marche,Byrd,Dishinger,Medici Music Press,1,
341-1-13703,Horn Quartet,Ricecar on the 8th Tone,Gabrieli,Ramm,Medici Music Press,1,
341-1-13704,Horn Quartet,Three Moods,Giovannini,,Southern Music Company,1,(play two)
341-1-13705,Horn Quartet,Divertimento,Haydn,Brown,The Hornist's Nest,1,
341-1-13706,Horn Quartet,Six Horn Quartets,Haydn,Reynolds,Ludwig Music Publishing Company,1,(play three)
341-1-13707,Horn Quartet,Sonate for Four Horns,Hindemith,,Schott Company,1,(play mvt 1 & 2)
341-1-13708,Horn Quartet,Cornucopia,Hoffman,,Southern Music Company,1,
341-1-13709,Horn Quartet,Second Suite for French Horns,Lo Presti,,Shawnee Press,1,(play mvt 1 or 3)
341-1-34314,Horn Quartet,Largo from Symphony No. 9,Dvorak,Schottstadt,German Hornsound,1,
341-1-34313,Horn Quartet,Scherzo from Symphony No. 4,Bruckner,Schottstadt,Kobl Music for Brass,1,
341-1-13712,Horn Quartet,Suite For Four Horns,McKay,,C.L. Barnhouse Company,1,(play one slow and one fast mvt)
341-1-13713,Horn Quartet,Concertino,Mitushin,Leuba,Southern Music Company,1,(play mvts 1 & 2 or 2 & 3)
341-1-13714,Horn Quartet,Overture to the Magic Flute,Mozart,Dutschke,The Hornist's Nest,1,
341-1-13716,Horn Quartet,Baroque Suite,Anon. or Trad.,Ostrander,"Edition Musicus-New York, Inc.",1,(play two mvts)
341-1-34312,Horn Quartet,Bruckner Suite,Bruckner,Johnson,Cimarron Music Press,1,
341-1-13718,Horn Quartet,Fantasia No. 9,Purcell,Rosenthal,"Western International Music, Inc.",1,
341-1-34311,Horn Quartet,Alloy 7645,Bough,,Cimarron Music Press,1,
341-1-13720,Horn Quartet,Six Quartets,Schumann,Reynolds,Southern Music Company,1,(play two)
